dataset,model,ratio,run,num_train_labels,base_num_train_labels,test_accuracy
CiteSeer,gat,0.1,1,12,120,0.08300000429153442
CiteSeer,gat,0.1,2,12,120,0.1810000091791153
CiteSeer,gat,0.1,3,12,120,0.29600000381469727
CiteSeer,gat,0.1,4,12,120,0.4180000126361847
CiteSeer,gat,0.1,5,12,120,0.5300000309944153
CiteSeer,gat,0.2,1,24,120,0.07800000160932541
CiteSeer,gat,0.2,2,24,120,0.4390000104904175
CiteSeer,gat,0.2,3,24,120,0.40800002217292786
CiteSeer,gat,0.2,4,24,120,0.5460000038146973
CiteSeer,gat,0.2,5,24,120,0.6110000014305115
CiteSeer,gat,0.5,1,60,120,0.6700000166893005
CiteSeer,gat,0.5,2,60,120,0.6680000424385071
CiteSeer,gat,0.5,3,60,120,0.6340000033378601
CiteSeer,gat,0.5,4,60,120,0.6660000085830688
CiteSeer,gat,0.5,5,60,120,0.656000018119812
CiteSeer,gat,1.0,1,120,120,0.7070000171661377
CiteSeer,gat,1.0,2,120,120,0.7130000591278076
CiteSeer,gat,1.0,3,120,120,0.7070000171661377
CiteSeer,gat,1.0,4,120,120,0.7070000171661377
CiteSeer,gat,1.0,5,120,120,0.7160000205039978
