run,test_accuracy
1,0.707000
2,0.713000
3,0.707000
4,0.707000
5,0.716000
6,0.715000
7,0.710000
8,0.705000
9,0.711000
10,0.706000
11,0.706000
12,0.715000
13,0.707000
14,0.712000
15,0.715000
16,0.706000
17,0.703000
18,0.710000
19,0.712000
20,0.711000
21,0.710000
22,0.706000
23,0.707000
24,0.701000
25,0.713000
26,0.701000
27,0.724000
28,0.704000
29,0.707000
30,0.713000
31,0.712000
32,0.713000
33,0.712000
34,0.705000
35,0.710000
36,0.708000
37,0.713000
38,0.717000
39,0.708000
40,0.719000
41,0.704000
42,0.699000
43,0.710000
44,0.720000
45,0.709000
46,0.708000
47,0.704000
48,0.708000
49,0.722000
50,0.701000
51,0.716000
52,0.711000
53,0.706000
54,0.708000
55,0.712000
56,0.698000
57,0.712000
58,0.701000
59,0.707000
60,0.709000
61,0.719000
62,0.708000
63,0.709000
64,0.700000
65,0.714000
66,0.709000
67,0.712000
68,0.711000
69,0.711000
70,0.711000
71,0.711000
72,0.702000
73,0.706000
74,0.706000
75,0.705000
76,0.713000
77,0.716000
78,0.707000
79,0.709000
80,0.706000
81,0.711000
82,0.707000
83,0.714000
84,0.711000
85,0.705000
86,0.703000
87,0.712000
88,0.708000
89,0.701000
90,0.708000
91,0.712000
92,0.724000
93,0.711000
94,0.717000
95,0.708000
96,0.707000
97,0.702000
98,0.705000
99,0.711000
100,0.719000
