dataset,model,ratio,run,num_train_labels,base_num_train_labels,test_accuracy
Cora,gat,0.1,1,14,140,0.5879999995231628
Cora,gat,0.1,2,14,140,0.597000002861023
Cora,gat,0.1,3,14,140,0.6660000085830688
Cora,gat,0.1,4,14,140,0.5
Cora,gat,0.1,5,14,140,0.5910000205039978
Cora,gat,0.2,1,28,140,0.7300000190734863
Cora,gat,0.2,2,28,140,0.6970000267028809
Cora,gat,0.2,3,28,140,0.6830000281333923
Cora,gat,0.2,4,28,140,0.6160000562667847
Cora,gat,0.2,5,28,140,0.7260000109672546
Cora,gat,0.5,1,70,140,0.7950000166893005
Cora,gat,0.5,2,70,140,0.8110000491142273
Cora,gat,0.5,3,70,140,0.7940000295639038
Cora,gat,0.5,4,70,140,0.8140000104904175
Cora,gat,0.5,5,70,140,0.784000039100647
Cora,gat,1.0,1,140,140,0.8290000557899475
Cora,gat,1.0,2,140,140,0.8270000219345093
Cora,gat,1.0,3,140,140,0.8390000462532043
Cora,gat,1.0,4,140,140,0.8300000429153442
Cora,gat,1.0,5,140,140,0.8280000686645508
