run,test_accuracy
1,0.829000
2,0.827000
3,0.839000
4,0.830000
5,0.828000
6,0.832000
7,0.831000
8,0.839000
9,0.834000
10,0.835000
11,0.833000
12,0.837000
13,0.832000
14,0.832000
15,0.833000
16,0.830000
17,0.829000
18,0.834000
19,0.835000
20,0.828000
21,0.830000
22,0.839000
23,0.830000
24,0.827000
25,0.830000
26,0.830000
27,0.836000
28,0.830000
29,0.835000
30,0.837000
31,0.836000
32,0.836000
33,0.830000
34,0.836000
35,0.834000
36,0.835000
37,0.833000
38,0.834000
39,0.836000
40,0.830000
41,0.838000
42,0.836000
43,0.825000
44,0.827000
45,0.830000
46,0.835000
47,0.824000
48,0.835000
49,0.837000
50,0.832000
51,0.831000
52,0.830000
53,0.832000
54,0.832000
55,0.834000
56,0.827000
57,0.838000
58,0.833000
59,0.837000
60,0.819000
61,0.830000
62,0.838000
63,0.831000
64,0.833000
65,0.832000
66,0.837000
67,0.835000
68,0.835000
69,0.836000
70,0.831000
71,0.836000
72,0.834000
73,0.837000
74,0.833000
75,0.828000
76,0.835000
77,0.833000
78,0.823000
79,0.831000
80,0.827000
81,0.830000
82,0.830000
83,0.825000
84,0.836000
85,0.828000
86,0.832000
87,0.819000
88,0.832000
89,0.834000
90,0.830000
91,0.837000
92,0.835000
93,0.829000
94,0.828000
95,0.832000
96,0.836000
97,0.835000
98,0.836000
99,0.836000
100,0.826000
